date,year,day
2014-12-01T00:00:00.000Z,2014,Dec 1
2015-01-01T00:00:00.000Z,2015,Jan 1
2015-02-01T00:00:00.000Z,2015,Feb 1
2015-03-01T00:00:00.000Z,2015,Mar 1
2015-04-01T00:00:00.000Z,2015,Apr 1
2015-05-01T00:00:00.000Z,2015,May 1
2015-06-01T00:00:00.000Z,2015,Jun 1
2015-07-01T00:00:00.000Z,2015,Jul 1
2015-08-01T00:00:00.000Z,2015,Aug 1
2015-09-01T00:00:00.000Z,2015,Sep 1
2015-10-01T00:00:00.000Z,2015,Oct 1
2015-11-01T00:00:00.000Z,2015,Nov 1
2015-12-01T00:00:00.000Z,2015,Dec 1
2016-01-01T00:00:00.000Z,2016,Jan 1
2016-02-01T00:00:00.000Z,2016,Feb 1
2016-03-01T00:00:00.000Z,2016,Mar 1
2016-04-01T00:00:00.000Z,2016,Apr 1
2016-05-01T00:00:00.000Z,2016,May 1